standardized_name
Panadol 500mg Tablets 100s
Gofen 400mg capsules 10s
Hedex 500mg Tablets 100s
Buscopan 10mg  Tablets 40s
Cipladon 1000mg Tablets 8s 
Myospaz 325mg  Tablets 100s
Zulu mr 100mg Tablets 8s
Rilif 500mg Tablets 30s
Xykaa 1000mg Tablets 30s
Zofen 500mg Tablets 30s
Ecofree 90mg Tablets 10s
Etorix 60mg Tablets 40s
Etorix 120mg Tablets 20s
Etorix 90mg Tablets 30s
Fastum Gel 30g 
Beecox mr 200mg Tablets 10s
Fevastin 1000mg Tablets 8s 
ETR -mr 90mg tablets 10s
Panadol 500mg Tablets 20s
Biofreeze gel
Deep Relief Gel 30g
Dynapar qps spray 30ml
Stednac 30g Gel
Rilif MR 500mg Tablets 20s
Neorelax 8mg Tablets 30s
Acepar SP Tablets 10s
Zyrtal sp tablets 40s
Kaluma lozenges 100s
Efferalgan 1000mg Tablets 8s
Doloxia 120mg Tablets 10s
Deep Heat spray 150ml
Pulmocef 500mg Tablets 10s
Augmentin 625mg Tablets 14s
Augmentin 1g Tablets 14s
Zithromax 500mg Tablets 3s
Zithrox 500mg Tablets 3s
Zinnat 500mg Tablets 10s
Augmentin 228mg Syrup 70MLS
Augmentin 457mg Syrup 70MLS
Zinnat 125mg suspension 50ml
Rifaxa 550mg Tablets 10s
AUGMENTIN 642.9MG Syrup 100ml
Zinnat 250mg Tablets 10s
Ciprobay 500mg Tablets 10s
Fosmol 3000mg Sachet 2s
Atm 500mg tablets 3s
Flucloxacillin 500mg capsules 100s
Ciprofloxacin 500mg Tablets 100s
Doxycycline 100mg Tablets 30s
Metronidazole 400mg tablets 100s
Ojen Oz tablets 10s
Lonart DS tablets 6s
Malanil paediatric tablets 12s
Artequick 62.5mg /375mg Tablets  4S
Amoxil forte 500mg Tablets 100s
Amoxil forte 250mg suspension 100ml
Amoxil 125mg suspension 100ml
Cipro-T 500/600mg Tablets 10s
Flutrox 200mg Tablets 10s
Fc-zole 200mg Tablets 10s
Griseofulvin 250mg Tablets 100s
Griseofulvin 500mg Tablets 100s
Terbinaforce 250mg Tablets 30s
Terbiswift 250mg Tablets 14s
Itacare 200mg Tablets 10s
Itacon 100mg Tablets 10s
Itacon 200mg Tablets 10s
Canditral 100mg Tablets 12s
Strepsils regular Lozenges 50s
Ascoril Dry Cough syrup 100ml
Piriton Expectorant Syrup 100ml
Piriton Syrup 100ml
Zyrtec syrup 75ml
Panadol cold n flu 500mg Tablets 24s
Lemsip cold and flu lemon sachets 16s
Lemsip max honey and ginger Sachet 16s
Ambrox syrup 100ml
Mucosolvan Syrup 100ml
Glykof syrup 120ml
Ascoril Expectorant 200ml
Htc herbigor syrup 100ml
Ascoril Expectorant 100ml
Flucoldex tablets 12s
Strepsils Vitamin C and orange Lozenges 36s
Xylolin adult nasal spray
Momate nasal spray
Momate az nasal spray
Flona nasal spray
Xylolin child nasal spray
Eugica cold and flu lozenges 120s
Eno Antacid tablets 100s 
Eno 5g Sachet 48s
Nexium 40mg Tablets 14s
Pantocid 40mg Tablets 50s
Relcer Gel 180ml
Nilacid suspension 100ml
Gaviscon peppermint suspension 150ml
Nexium 20mg Tablets 14s
Esomezo 20mg Tablets 14s
Esomezol 40mg Tablets 30s
Gastroplus 40mg tablets 10s
Robidorm sr 20mg tablets 30s
Esofag-D 40mg  tablets 30s
Esofag kit Tablets 1s
Esofag 20mg Tablets 30s
Esose 20mg Tablets 10s
Esose 40mg Tablets 30s
Esomod 20mg Tablets  30s
Lorabil plus 20mg tablets 30s
Esopride 20mg Tablets 30s
Ranferon tablets 30s
Ranferon syrup 200ml
Osteocare plus joint glucosamine&chondroitin tablets 60s
Webbers Natural Melatonin 3mg Tablets 90s
Melatonin 5mg Tablets 60s
Webbers Natural 10mg /150mg Tablets 60s
Osteocare tablets 30s
Ideos 500mg  Tablets 30s
Enterogermina vials  5ml 10s
Sara d3 60,000iu 4s(vit d3)
Osteocare Plus Omega 400 iu 84s
Zedcal oral suspensionension 200ml
Zedcal tablets 30s
Orthoflex tablets 30s
